date,killed,injured,victims,state,city,address,incident
2015-12-31,0,6,6,Louisiana,New Orleans,1900 block of Amelia Street,http://www.gunviolencearchive.org/incident/476321
2015-12-27,0,4,4,Tennessee,Jackson,North Parkway,http://www.gunviolencearchive.org/incident/473882
2015-12-26,0,4,4,Pennsylvania,Philadelphia,4210 Macalester St,http://www.gunviolencearchive.org/incident/472268
2015-12-25,0,4,4,Florida,Jacksonville,Franklin and Odessa,http://www.gunviolencearchive.org/incident/471867
2015-12-25,0,4,4,Alabama,Mobile,785 Schillinger Rd S,http://www.gunviolencearchive.org/incident/471860
2015-12-21,0,4,4,California,San Leandro,14600 block of East 14th Street,http://www.gunviolencearchive.org/incident/469468
2015-12-20,1,4,5,North Carolina,Wilmington,11th and Castle Street,http://www.gunviolencearchive.org/incident/468968
2015-12-20,1,4,5,Florida,Miami (Goulds),21630 Southwest 120th Avenue,http://www.gunviolencearchive.org/incident/468787
2015-12-20,0,4,4,Florida,Miami-dade (county),Northeast Seventh Avenue and Northeast 166th Street,http://www.gunviolencearchive.org/incident/469614
2015-12-13,1,3,4,California,Los Angeles,5550 S. Flower Street,http://www.gunviolencearchive.org/incident/464665
2015-12-13,0,4,4,California,Huntington Beach,17000 block of Keelson Lane,http://www.gunviolencearchive.org/incident/464945
2015-12-12,0,4,4,Georgia,Savannah,Whitaker Street,http://www.gunviolencearchive.org/incident/464002
2015-12-12,1,3,4,Illinois,Lovejoy (Brooklyn),307 Jefferson St,http://www.gunviolencearchive.org/incident/465117
2015-12-11,1,3,4,Maryland,Baltimore,5100 block of Park Heights Avenue,http://www.gunviolencearchive.org/incident/463642
2015-12-11,0,4,4,Pennsylvania,Pittsburgh (Mount Oliver),200 block of Brownsville Road,http://www.gunviolencearchive.org/incident/463734
2015-12-08,1,3,4,Ohio,Cincinnati (Fairmount),2300 block of Baltimore Avenue,http://www.gunviolencearchive.org/incident/461476
2015-12-06,1,3,4,Louisiana,Raceland,Market Street,http://www.gunviolencearchive.org/incident/460049
2015-12-06,2,3,5,Nebraska,Omaha,North 108th Street and Military Road,http://www.gunviolencearchive.org/incident/460386
2015-12-02,16,19,35,California,San Bernardino,1365 South Waterman Avenue,http://www.gunviolencearchive.org/incident/456893
2015-12-02,1,3,4,Georgia,Savannah,100 block of West 33rd Street,http://www.gunviolencearchive.org/incident/457037
2015-11-29,0,5,5,Illinois,Kankakee,648 E. Court St,http://www.gunviolencearchive.org/incident/455394
2015-11-27,3,9,12,Colorado,Colorado Springs,3480 Centennial Blvd,http://www.gunviolencearchive.org/incident/454059
2015-11-27,2,2,4,California,Sacramento,7900 block of Florin Road,http://www.gunviolencearchive.org/incident/455684
2015-11-24,0,4,4,South Carolina,Horry (county),1321 Colletta Court,http://www.gunviolencearchive.org/incident/454788
2015-11-23,4,1,5,Ohio,Columbus,90 block of S. Terrace Avenue,http://www.gunviolencearchive.org/incident/452007
2015-11-23,0,5,5,Minnesota,Minneapolis,Morgan Avenue North,http://www.gunviolencearchive.org/incident/452120
2015-11-22,0,4,4,Texas,Brownsville,1800 block of FM 802,http://www.gunviolencearchive.org/incident/453317
2015-11-22,0,4,4,Washington,Seattle,Broadway and Pike,http://www.gunviolencearchive.org/incident/451338
2015-11-22,0,5,5,New York,Newburgh,203 Broadway,http://www.gunviolencearchive.org/incident/451305
2015-11-22,1,3,4,South Carolina,North Charleston,Park Circle,http://www.gunviolencearchive.org/incident/452362
2015-11-22,0,4,4,Illinois,Chicago,4100 block of West Roosevelt,http://www.gunviolencearchive.org/incident/451349
2015-11-22,0,17,17,Louisiana,New Orleans,1900 block of Gallier Street,http://www.gunviolencearchive.org/incident/451495
2015-11-21,1,3,4,Maryland,Baltimore,Stricker and School,http://www.gunviolencearchive.org/incident/451057
2015-11-20,1,3,4,Pennsylvania,Pittsburgh,Prospect Drive,http://www.gunviolencearchive.org/incident/450505
2015-11-18,0,5,5,California,Fresno,California Avenue and Martin Luther King Jr. Boulevard,http://www.gunviolencearchive.org/incident/449814
2015-11-16,3,1,4,Alabama,Cherokee (county),1400 block of County Road 664,http://www.gunviolencearchive.org/incident/448653
2015-11-15,0,4,4,Pennsylvania,Philadelphia,5600 block of Blakemore Street,http://www.gunviolencearchive.org/incident/448286
2015-11-15,5,0,5,Texas,Tennessee Colony,800 block of County Road 2217,http://www.gunviolencearchive.org/incident/448419
2015-11-14,0,4,4,Pennsylvania,Johnstown,1159 Main St,http://www.gunviolencearchive.org/incident/447462
2015-11-13,4,1,5,Florida,Jacksonville,1300 block of South Shirley Oaks Drive,http://www.gunviolencearchive.org/incident/446996
2015-11-09,2,2,4,Indiana,Indianapolis,400 block of North Beville Ave,http://www.gunviolencearchive.org/incident/444458
2015-11-08,1,3,4,Iowa,Des Moines,4397 NW 6th Drive,http://www.gunviolencearchive.org/incident/443821
2015-11-08,0,4,4,Michigan,Warren,13859 8 Mile Road,http://www.gunviolencearchive.org/incident/444168
2015-11-07,1,3,4,Colorado,Denver,Bayaud and Bannock,http://www.gunviolencearchive.org/incident/443652
2015-11-06,0,4,4,California,Bakersfield,1000 block of Feliz Drive,http://www.gunviolencearchive.org/incident/444406
2015-11-03,2,3,5,Florida,Jacksonville,Ella Street and Kings Road,http://www.gunviolencearchive.org/incident/441681
2015-11-02,4,0,4,South Carolina,Pendleton,2217 Refuge Road,http://www.gunviolencearchive.org/incident/440743
2015-10-28,1,3,4,Louisiana,Houma,400 block of Morgan Street,http://www.gunviolencearchive.org/incident/438651
2015-10-27,0,5,5,Texas,Fort Worth,1700 block of Southcrest Drive,http://www.gunviolencearchive.org/incident/437836
2015-10-26,0,5,5,Indiana,Evansville,711 E Virginia St,http://www.gunviolencearchive.org/incident/437323
2015-10-25,0,5,5,North Carolina,Four Oaks,2339 Stricklands Crossroads Road,http://www.gunviolencearchive.org/incident/436202
2015-10-25,1,4,5,Arizona,Phoenix,Seventh Street and Broadway,http://www.gunviolencearchive.org/incident/436234
2015-10-25,0,5,5,District of Columbia,Washington,4300 block of Wheeler Road SE,http://www.gunviolencearchive.org/incident/436240
2015-10-24,0,4,4,South Carolina,Bamberg,682 Dixie Ave.,http://www.gunviolencearchive.org/incident/436219
2015-10-22,1,3,4,Tennessee,Nashville,3500 John A. Merritt Blvd,http://www.gunviolencearchive.org/incident/435144
2015-10-19,0,6,6,Illinois,Calumet City,300 Campbell Avenue,http://www.gunviolencearchive.org/incident/433146
2015-10-18,0,4,4,Louisiana,New Orleans,2600 block of Caffin Avenue,http://www.gunviolencearchive.org/incident/432711
2015-10-17,0,4,4,Indiana,Elkhart,160 Easy Shopping Place,http://www.gunviolencearchive.org/incident/432072
2015-10-17,1,4,5,Florida,Fort Myers,2224 First St,http://www.gunviolencearchive.org/incident/432466
2015-10-12,0,4,4,Georgia,Decatur,4731 Glenwood Road,http://www.gunviolencearchive.org/incident/429410
2015-10-10,0,6,6,Tennessee,Memphis,6135 Mount Moriah Road,http://www.gunviolencearchive.org/incident/428215
2015-10-10,0,4,4,North Carolina,Charlotte,1900 block of West Boulevard,http://www.gunviolencearchive.org/incident/428247
2015-10-10,1,3,4,Illinois,Peoria,2405 N Flora,http://www.gunviolencearchive.org/incident/429614
2015-10-09,1,3,4,Arizona,Flagstaff,216 E Mountain View Drive,http://www.gunviolencearchive.org/incident/427621
2015-10-06,0,5,5,Maryland,Baltimore,300 block of North Payson Street,http://www.gunviolencearchive.org/incident/426256
2015-10-02,1,4,5,Maryland,Baltimore,5400 Reisterstown Road,http://www.gunviolencearchive.org/incident/424224
2015-10-01,10,9,19,Oregon,Roseburg,1140 Umpqua College Rd,http://www.gunviolencearchive.org/incident/423223
2015-09-28,0,5,5,Ohio,Cincinnati (Evanston),1800 block of Hewitt Avenue,http://www.gunviolencearchive.org/incident/421650
2015-09-28,3,2,5,Illinois,Chicago,300 block of West 42nd Street,http://www.gunviolencearchive.org/incident/422064
2015-09-28,2,3,5,Illinois,Chicago,5300 block of South Aberdeen Street,http://www.gunviolencearchive.org/incident/422035
2015-09-28,0,4,4,Ohio,Dayton,1921 Oakridge,http://www.gunviolencearchive.org/incident/422020
2015-09-27,0,10,10,Georgia,Greenville,1140 Hill Haven Road,http://www.gunviolencearchive.org/incident/421014
2015-09-27,0,4,4,Illinois,Chicago,5200 block of South Justine,http://www.gunviolencearchive.org/incident/421358
2015-09-27,0,4,4,Missouri,Kansas City,1700 E. 18th St.,http://www.gunviolencearchive.org/incident/420855
2015-09-25,0,4,4,Illinois,Danville,1300 block of May Street,http://www.gunviolencearchive.org/incident/426559
2015-09-24,0,5,5,Illinois,Chicago,5100 block of South Morgan Street,http://www.gunviolencearchive.org/incident/419718
