date,state,city,address,killed,injured,incident
2013-11-07,Michigan,Detroit,Conley and 7 Mile,3,7,http://www.gunviolencearchive.org/incident/493035
2013-11-05,Florida,Jacksonville,1100 block of Randolph,4,0,http://www.gunviolencearchive.org/incident/493109
2013-11-05,District of Columbia,Washington,3900 block of Minnesota Ave,0,4,http://www.gunviolencearchive.org/incident/492999
2013-11-03,California,Los Angeles,1 World Way,1,3,http://www.gunviolencearchive.org/incident/492950
2013-11-03,California,Perris,2900 block of Perris Boulevard,0,5,http://www.gunviolencearchive.org/incident/492985
2013-11-02,Kentucky,Radcliff,355 Shelby Avenue,1,3,http://www.gunviolencearchive.org/incident/492933
2013-10-29,South Carolina,Bradley (Callison),Callison Highway,5,0,http://www.gunviolencearchive.org/incident/492914
2013-10-27,California,Vallejo,200 block of Princeton Avenue,1,6,http://www.gunviolencearchive.org/incident/492570
2013-10-27,North Carolina,Southern Pines,115 Turner St,1,4,http://www.gunviolencearchive.org/incident/492393
2013-10-27,California,Roseville,6th Street and Hampton,0,4,http://www.gunviolencearchive.org/incident/492699
2013-10-27,Texas,Beaumont,500 block of Edgemore Drive,0,4,http://www.gunviolencearchive.org/incident/492427
2013-10-26,Connecticut,New Haven,85 Saint John St,1,5,http://www.gunviolencearchive.org/incident/492366
2013-10-26,Florida,Miami Gardens,NW 187 Street and 30 Avenue,0,4,http://www.gunviolencearchive.org/incident/481419
2013-10-21,Pennsylvania,Pittsburgh (Homewood),7200 block of Kelly Street,2,5,http://www.gunviolencearchive.org/incident/481268
2013-10-20,Florida,Miami,19600 block of Southwest 168th Street,2,2,http://www.gunviolencearchive.org/incident/481263
2013-10-20,Florida,Margate,7400 block of Santa Monica Drive,0,4,http://www.gunviolencearchive.org/incident/481254
2013-10-13,Pennsylvania,Harrisburg,1524 Walnut St,0,8,http://www.gunviolencearchive.org/incident/481043
2013-10-12,Oklahoma,Tulsa,12000 E 31st St,0,5,http://www.gunviolencearchive.org/incident/481029
2013-10-09,Texas,Paris,400 block of NE 6th Street,4,0,http://www.gunviolencearchive.org/incident/480981
2013-10-06,Pennsylvania,Philadelphia,54th St. and Florence Ave,1,5,http://www.gunviolencearchive.org/incident/480961
2013-10-06,Arizona,Avondale,11120 W Van Buren St,0,4,http://www.gunviolencearchive.org/incident/480897
2013-10-05,New York,Buffalo,102 Zelmer Street,0,4,http://www.gunviolencearchive.org/incident/480882
2013-10-05,California,Fresno,3883 E. Calwa #114,1,12,http://www.gunviolencearchive.org/incident/480765
2013-10-02,Nebraska,Omaha,North 42nd and Browne streets,0,4,http://www.gunviolencearchive.org/incident/480747
2013-09-29,Illinois,Chicago,6000 block of South Indiana Avenue,0,4,http://www.gunviolencearchive.org/incident/480730
2013-09-27,Ohio,Zanesville,753 Putnam Ave,0,4,http://www.gunviolencearchive.org/incident/480720
2013-09-25,North Carolina,Haw River,1003 W. Main St,0,4,http://www.gunviolencearchive.org/incident/480700
2013-09-24,West Virginia,Huntington,300 W 7th Ave,0,6,http://www.gunviolencearchive.org/incident/480691
2013-09-22,Missouri,Saint Louis,3916 North Florissant Road,1,3,http://www.gunviolencearchive.org/incident/480661
2013-09-22,Kansas,Wichita,100 block of N. Mead,1,6,http://www.gunviolencearchive.org/incident/480646
2013-09-22,Michigan,Muskegon,149 Ottawa Ave,2,4,http://www.gunviolencearchive.org/incident/480669
2013-09-21,Florida,Palm Beach,2600 block of Forest Hill Boulevard,0,4,http://www.gunviolencearchive.org/incident/480632
2013-09-20,Texas,Rice,700 block of NW 0149,5,0,http://www.gunviolencearchive.org/incident/480605
2013-09-20,California,Long Beach,6500 block of Rose Avenue,2,2,http://www.gunviolencearchive.org/incident/480582
2013-09-19,Illinois,Chicago,1809 W 50th St,0,12,http://www.gunviolencearchive.org/incident/480521
2013-09-18,Tennessee,Memphis,1033 Whitaker,1,4,http://www.gunviolencearchive.org/incident/480470
2013-09-17,Florida,Kissimmee,Flying Fortress Avenue,0,5,http://www.gunviolencearchive.org/incident/480462
2013-09-17,Nevada,Las Vegas,1300 block of Bartlett Avenue,0,4,http://www.gunviolencearchive.org/incident/480453
2013-09-17,Michigan,Lansing,1500 block of Ottawa Street,0,4,http://www.gunviolencearchive.org/incident/480415
2013-09-17,California,Stockton,700 block of North Airport Way,2,3,http://www.gunviolencearchive.org/incident/480394
2013-09-16,District of Columbia,Washington Navy Yard,1336 Isaac Hull Ave,11,3,http://www.gunviolencearchive.org/incident/480366
2013-09-15,Colorado,Colorado Springs,1609 South Nevada,0,5,http://www.gunviolencearchive.org/incident/480104
2013-09-15,Washington,Yakima,2209 W Nob Hill Blvd,0,6,http://www.gunviolencearchive.org/incident/480071
2013-09-15,Georgia,Snellville,4630 Anderson Livsey Lane,3,1,http://www.gunviolencearchive.org/incident/480058
2013-09-14,North Carolina,Marion,80 Finley Road,0,4,http://www.gunviolencearchive.org/incident/479821
2013-09-12,District of Columbia,Washington,First Street and Pierce Street NW,1,3,http://www.gunviolencearchive.org/incident/479757
2013-09-12,Tennessee,Crab Orchard,N/A,4,0,http://www.gunviolencearchive.org/incident/479747
2013-09-11,New York,New York,204 Varick St,0,4,http://www.gunviolencearchive.org/incident/479774
2013-09-10,Connecticut,Bridgeport,Reservoir Ave and Grandview Ave,1,4,http://www.gunviolencearchive.org/incident/479734
2013-09-07,Indiana,Gary,9300 block of Sunrise Boulevard,2,4,http://www.gunviolencearchive.org/incident/479709
2013-09-07,Missouri,Saint Louis,5000 block of Durant Ave,1,3,http://www.gunviolencearchive.org/incident/479727
2013-09-05,North Carolina,Charlotte,2500 block of Pinckney Avenue,0,4,http://www.gunviolencearchive.org/incident/479682
2013-08-25,California,Oakland,1300 block of 104th Avenue,0,4,http://www.gunviolencearchive.org/incident/479646
2013-08-25,Florida,Lake Butler,1050 Southeast 6th Street,4,1,http://www.gunviolencearchive.org/incident/492276
2013-08-25,Minnesota,Minneapolis,2600 block of Cedar and 2600 block of 18th Avenue South,2,2,http://www.gunviolencearchive.org/incident/492270
2013-08-25,South Carolina,Latta,214 Willis St,1,3,http://www.gunviolencearchive.org/incident/492260
2013-08-20,Maryland,Baltimore,1200 block of S. Carey St,2,2,http://www.gunviolencearchive.org/incident/491992
2013-08-19,Illinois,Chicago,1011 W. Wilson,1,4,http://www.gunviolencearchive.org/incident/491965
2013-08-18,New Jersey,Port Norris,1600 block of North Avenue,0,4,http://www.gunviolencearchive.org/incident/491948
2013-08-18,Ohio,Toledo,2272 Scottwood Ave,0,4,http://www.gunviolencearchive.org/incident/491937
2013-08-18,South Carolina,Chesterfield,3217 Center Point Rd,1,4,http://www.gunviolencearchive.org/incident/491898
2013-08-18,Illinois,Chicago,100 block of South Springfield,1,3,http://www.gunviolencearchive.org/incident/491840
2013-08-17,California,San Francisco,1738 Telegraph Avenue,0,4,http://www.gunviolencearchive.org/incident/491819
2013-08-14,Oklahoma,Oklahoma City,4601 SE 79,4,0,http://www.gunviolencearchive.org/incident/492001
2013-08-13,Pennsylvania,Philadelphia,1100 block of Divinity Street,0,4,http://www.gunviolencearchive.org/incident/491770
2013-08-11,Virginia,Portsmouth,1100 block of Mt. Vernon Ave,1,4,http://www.gunviolencearchive.org/incident/491749
2013-08-11,New York,Brooklyn,395 East 48th Street,0,4,http://www.gunviolencearchive.org/incident/491710
2013-08-10,Delaware,Wilmington,1200 block of Second Street,0,4,http://www.gunviolencearchive.org/incident/491729
2013-08-09,Missouri,Saint Louis,4200 block of Kossuth Ave,2,2,http://www.gunviolencearchive.org/incident/491734
2013-08-07,Texas,Dallas,7100 block of Long Canyon Trail,4,4,http://www.gunviolencearchive.org/incident/491698
2013-08-06,New Jersey,Montclair,Mission Street,0,4,http://www.gunviolencearchive.org/incident/491630
2013-08-06,Pennsylvania,Saylorsburg,1000 Ross Municipal Dr,3,4,http://www.gunviolencearchive.org/incident/491609
2013-08-04,Missouri,Kansas City,2400 block of Park Avenue,1,3,http://www.gunviolencearchive.org/incident/491546
2013-08-04,California,Salinas,624 Williams Road,3,4,http://www.gunviolencearchive.org/incident/491473
2013-08-03,Michigan,Detroit,Murray Hill St,0,5,http://www.gunviolencearchive.org/incident/491461
2013-08-02,Indiana,Indianapolis,62nd and College Ave,0,4,http://www.gunviolencearchive.org/incident/491438
2013-08-02,New Jersey,Newark,Livingston St. and 18th Avenue,2,3,http://www.gunviolencearchive.org/incident/491416
2013-07-30,New Mexico,Hobbs,2000 block of North Bensing Rd,0,4,http://www.gunviolencearchive.org/incident/491292
2013-07-29,Washington,Granger,300 block of S. Outlook Rd.,0,4,http://www.gunviolencearchive.org/incident/491281
2013-07-26,Florida,Hialeah,1485 W 46th St,7,0,http://www.gunviolencearchive.org/incident/491265
2013-07-26,West Virginia,Clarksburg,743 Locust Avenue,4,0,http://www.gunviolencearchive.org/incident/491253
2013-07-25,Michigan,Inkster,Oakwood Street,0,4,http://www.gunviolencearchive.org/incident/491243
2013-07-24,Kansas,Topeka,221 SE Lawrence St,0,4,http://www.gunviolencearchive.org/incident/491226
2013-07-21,New York,Brooklyn,1445 Lincoln Place,0,4,http://www.gunviolencearchive.org/incident/491214
2013-07-20,New York,Brooklyn,Grove Street,0,5,http://www.gunviolencearchive.org/incident/491181
2013-07-19,Connecticut,Hartford,3155 Main St,0,4,http://www.gunviolencearchive.org/incident/491082
2013-07-19,California,Madera,Yosemite Avenue and Cleveland,0,4,http://www.gunviolencearchive.org/incident/491073
2013-07-17,California,Oakland,3400 block of Wilson Avenue,1,3,http://www.gunviolencearchive.org/incident/491046
2013-07-14,Kansas,Wichita,11th Street and Mead,1,4,http://www.gunviolencearchive.org/incident/491001
2013-07-14,Michigan,Grand Rapids (Kentwood),Farmview Ct SE,0,5,http://www.gunviolencearchive.org/incident/491037
2013-07-13,Ohio,Campbell,Seventh Street,0,4,http://www.gunviolencearchive.org/incident/491162
2013-07-13,District of Columbia,Washington,2700 block of Stanton Road,0,4,http://www.gunviolencearchive.org/incident/490979
2013-07-13,Oklahoma,Oklahoma City,5405 N. Lincoln Blvd,1,3,http://www.gunviolencearchive.org/incident/490963
2013-07-13,New Jersey,Trenton (Hamilton Township),1100 block of Deutz Ave,1,4,http://www.gunviolencearchive.org/incident/490932
2013-07-12,Kentucky,Greensburg,194 C Mays Rd,2,2,http://www.gunviolencearchive.org/incident/490954
2013-07-12,California,San Francisco,3192 16th St,1,3,http://www.gunviolencearchive.org/incident/490943
2013-07-11,North Carolina,Charlotte,6300 block of Reagan Drive,2,2,http://www.gunviolencearchive.org/incident/490922
2013-07-09,Illinois,Rockford,600 block of Woodlawn Avenue,2,2,http://www.gunviolencearchive.org/incident/490917
2013-07-09,Maryland,Baltimore,600 block of N. Carrollton Ave,0,4,http://www.gunviolencearchive.org/incident/490909
2013-07-07,Florida,Pompano Beach,1600 block of Northwest 7th Lane,1,3,http://www.gunviolencearchive.org/incident/490793
2013-07-07,California,Stockton,2600 block of Connecticut Avenue,1,4,http://www.gunviolencearchive.org/incident/490893
2013-07-07,Mississippi,Meridian,2500 block of 5th Street,0,4,http://www.gunviolencearchive.org/incident/490767
2013-07-07,Illinois,Chicago,11300 block of South Forest Avenue,0,5,http://www.gunviolencearchive.org/incident/490772
2013-07-06,Alabama,Florence,West Mobile Street,0,4,http://www.gunviolencearchive.org/incident/490395
2013-07-06,New York,Brooklyn,472 Marcy Avenue,1,3,http://www.gunviolencearchive.org/incident/490750
2013-07-04,Michigan,Pontiac,441 N Perry St,1,6,http://www.gunviolencearchive.org/incident/490351
2013-07-04,Illinois,Chicago,6000 block of South Cottage Grove Avenue,0,4,http://www.gunviolencearchive.org/incident/490335
2013-07-01,Texas,Fort Worth,2900 block of Pate Drive,4,0,http://www.gunviolencearchive.org/incident/490245
2013-06-30,New York,Brooklyn,616 E. 52nd Street,0,9,http://www.gunviolencearchive.org/incident/490226
2013-06-30,Colorado,Aurora,2300 block of Paris St,0,4,http://www.gunviolencearchive.org/incident/490166
2013-06-29,South Carolina,North Charleston,4400 Dorchester Road; Suite 115,3,1,http://www.gunviolencearchive.org/incident/490150
2013-06-28,Illinois,Chicago,4800 block of North Sheridan Road,0,6,http://www.gunviolencearchive.org/incident/490115
2013-06-27,California,Three Rivers,39553-39833 Sierra Dr,2,2,http://www.gunviolencearchive.org/incident/490048
2013-06-25,Illinois,Chicago,73rd Street and King Drive,1,4,http://www.gunviolencearchive.org/incident/489987
2013-06-24,Missouri,Kansas City,1711 Kansas Avenue,1,3,http://www.gunviolencearchive.org/incident/489934
2013-06-23,Virginia,Virginia Beach,4600 block of Columbus Street,1,4,http://www.gunviolencearchive.org/incident/489129
2013-06-23,Louisiana,New Orleans,5700 block of Wickfield Drive,0,4,http://www.gunviolencearchive.org/incident/489121
2013-06-23,Missouri,Kansas City,1917 Prospect Ave,1,8,http://www.gunviolencearchive.org/incident/489105
2013-06-23,California,Sacramento,Sea Drift Way,1,3,http://www.gunviolencearchive.org/incident/489096
2013-06-23,Tennessee,Chattanooga,1501 Dodds Ave,1,4,http://www.gunviolencearchive.org/incident/489061
2013-06-22,Rhode Island,Providence,55 Curtis,0,4,http://www.gunviolencearchive.org/incident/488970
2013-06-22,Maryland,Baltimore,700 block of N. Kenwood Avenue,1,4,http://www.gunviolencearchive.org/incident/488833
2013-06-21,Illinois,Chicago,2900 block of North Kilpatrick Avenue,1,3,http://www.gunviolencearchive.org/incident/488426
2013-06-21,North Carolina,Greenville,205 Greenville Blvd SW,0,5,http://www.gunviolencearchive.org/incident/488547
2013-06-21,Virginia,Norfolk,1225 Tidewater Drive,0,6,http://www.gunviolencearchive.org/incident/488505
2013-06-16,Illinois,Chicago,900block of East 79th Street,1,3,http://www.gunviolencearchive.org/incident/488134
2013-06-15,Texas,Houston,9780 Bissonnet,1,3,http://www.gunviolencearchive.org/incident/487891
2013-06-15,Tennessee,Nashville,135 Brinkhaven Ave,0,4,http://www.gunviolencearchive.org/incident/487833
2013-06-15,Rhode Island,Providence,256 Hartford Ave,1,3,http://www.gunviolencearchive.org/incident/488992
2013-06-14,North Carolina,High Point,2201 Little Avenue,0,5,http://www.gunviolencearchive.org/incident/487715
2013-06-10,Illinois,Chicago,5700 block of South Sangamon Street,1,4,http://www.gunviolencearchive.org/incident/487670
2013-06-10,Missouri,Saint Louis,4700 block of Highland Ave,0,6,http://www.gunviolencearchive.org/incident/487659
2013-06-09,Pennsylvania,York,600 block of West Princess Street,0,4,http://www.gunviolencearchive.org/incident/487645
2013-06-07,California,Santa Monica,2036 Yorkshire Ave,6,1,http://www.gunviolencearchive.org/incident/489581
2013-06-02,Georgia,Lagrange,Union Street,0,7,http://www.gunviolencearchive.org/incident/487435
2013-06-02,Virginia,Virginia Beach,4000 block of Roebling Lane,0,7,http://www.gunviolencearchive.org/incident/487271
2013-06-02,Indiana,Indianapolis,1913 East 46th Street,0,4,http://www.gunviolencearchive.org/incident/487266
2013-06-01,California,Vallejo,1st block of Linfield Drive,2,2,http://www.gunviolencearchive.org/incident/489314
2013-06-01,Wisconsin,Milwaukee,4126 N Teutonia Ave,0,4,http://www.gunviolencearchive.org/incident/487261
2013-05-31,Georgia,Atlanta,1000 block of Fair Street,0,4,http://www.gunviolencearchive.org/incident/487088
2013-05-29,Illinois,Chicago,N/A,0,4,http://www.gunviolencearchive.org/incident/487082
2013-05-28,Tennessee,Memphis,2850 Brewer Avenue,1,3,http://www.gunviolencearchive.org/incident/487052
2013-05-25,Virginia,Hampton,1900 block of Coliseum Drive,1,4,http://www.gunviolencearchive.org/incident/486998
2013-05-25,Michigan,Flint,1100 block of Paterson,1,3,http://www.gunviolencearchive.org/incident/486977
2013-05-24,California,Bakersfield,3700 block of Columbus Street,2,2,http://www.gunviolencearchive.org/incident/486971
2013-05-23,Tennessee,Bean Station,1034 Main Street,2,2,http://www.gunviolencearchive.org/incident/486623
2013-05-20,Illinois,Chicago,5200 block of West Iowa Street,0,4,http://www.gunviolencearchive.org/incident/486617
2013-05-19,Michigan,Detroit,N/A,0,4,http://www.gunviolencearchive.org/incident/486605
2013-05-19,Tennessee,Memphis,2281 Ketchum Rd,2,2,http://www.gunviolencearchive.org/incident/486586
2013-05-18,Virginia,Victoria,2073 Pleasant Oak Rd,0,4,http://www.gunviolencearchive.org/incident/486611
2013-05-16,Pennsylvania,Philadelphia,2600 block of Daggett Street,0,4,http://www.gunviolencearchive.org/incident/486334
2013-05-15,Michigan,Detroit,9000 block of Carlin,1,4,http://www.gunviolencearchive.org/incident/486327
2013-05-13,Ohio,Cincinnati,Kings Run Road,0,4,http://www.gunviolencearchive.org/incident/486316
2013-05-12,Louisiana,New Orleans,Frenchmen Street,0,19,http://www.gunviolencearchive.org/incident/486209
2013-05-12,Arizona,Apache Junction,3600 block of East Apache Trail,0,5,http://www.gunviolencearchive.org/incident/486153
2013-05-11,Indiana,Columbus,E Main Cross St,5,0,http://www.gunviolencearchive.org/incident/486142
2013-05-11,New Jersey,Jersey City,Fremont Street,0,4,http://www.gunviolencearchive.org/incident/486244
2013-05-11,Pennsylvania,Philadelphia,21st Street and Medary Avenue,0,4,http://www.gunviolencearchive.org/incident/486121
2013-05-10,California,Los Angeles,1600 block of West 205th Street,3,1,http://www.gunviolencearchive.org/incident/486109
2013-05-06,Pennsylvania,Johnstown,Horner and Messenger streets,0,4,http://www.gunviolencearchive.org/incident/486068
2013-05-05,California,Palo Alto,Bay Road and University Avenue,0,5,http://www.gunviolencearchive.org/incident/486056
2013-05-04,North Carolina,Smithfield,150 South Equity Drive,0,4,http://www.gunviolencearchive.org/incident/486027
2013-05-02,New Jersey,Newark,804 S. 16th St,0,5,http://www.gunviolencearchive.org/incident/486005
2013-04-28,Tennessee,Jackson,438 East Main Street,2,2,http://www.gunviolencearchive.org/incident/485979
2013-04-28,Pennsylvania,Chester,Rose and Upland Street,1,3,http://www.gunviolencearchive.org/incident/485885
2013-04-28,North Carolina,Charlotte,William Reynolds Drive,0,5,http://www.gunviolencearchive.org/incident/485874
2013-04-27,Florida,Williston,County Road 318,1,3,http://www.gunviolencearchive.org/incident/485821
2013-04-25,Ohio,Oberlin,500 block of West College Street,0,4,http://www.gunviolencearchive.org/incident/489185
2013-04-24,Illinois,Manchester,East Street,6,1,http://www.gunviolencearchive.org/incident/485811
2013-04-22,Louisiana,Harvey,2300 block of Lapalco Boulevard,0,5,http://www.gunviolencearchive.org/incident/485746
2013-04-22,Illinois,Chicago (Englewood),5700 block of South Lowe Avenue,0,4,http://www.gunviolencearchive.org/incident/484351
2013-04-21,Washington,Federal Way,33300 block of 18th Lane South,5,0,http://www.gunviolencearchive.org/incident/484333
2013-04-18,Ohio,Akron,Kimlyn Circle,4,0,http://www.gunviolencearchive.org/incident/484317
2013-04-14,Arizona,Phoenix,12400 North 25th Avenue,2,4,http://www.gunviolencearchive.org/incident/484307
2013-04-14,Kentucky,Lexington,750 East New Circle Rd,1,4,http://www.gunviolencearchive.org/incident/484287
2013-04-10,California,Vallejo,1800 block of Mini Drive,0,4,http://www.gunviolencearchive.org/incident/484279
2013-04-09,Pennsylvania,Philadelphia,Somerset Street and Lee Street,1,3,http://www.gunviolencearchive.org/incident/484268
2013-04-07,California,Long Beach,300 block of East Home Street,1,3,http://www.gunviolencearchive.org/incident/483878
2013-04-07,New York,New York (Manhattan),900 Garden Way,1,3,http://www.gunviolencearchive.org/incident/483872
2013-04-06,South Carolina,Greenwood,Tabor Street,1,4,http://www.gunviolencearchive.org/incident/483861
2013-03-31,Washington,Auburn,2802 Auburn Way North,3,2,http://www.gunviolencearchive.org/incident/483817
2013-03-30,California,Merced (county),9200 block of Westside Boulevard,3,2,http://www.gunviolencearchive.org/incident/483835
2013-03-22,New York,Brooklyn,2703 W. 33rd Street,1,3,http://www.gunviolencearchive.org/incident/483788
2013-03-21,Missouri,Kansas City,4900 block of Brookside Blvd,1,3,http://www.gunviolencearchive.org/incident/483765
2013-03-21,Illinois,Chicago,West 87th Street and Ashland Avenue,0,7,http://www.gunviolencearchive.org/incident/483737
2013-03-17,Florida,Belle Glade,Northwest 16th Street and Northwest Avenue L,0,5,http://www.gunviolencearchive.org/incident/482942
2013-03-17,California,Stockton,1800 block of East Sonora Street,2,3,http://www.gunviolencearchive.org/incident/482934
2013-03-16,California,Galt,Dover Drive,0,7,http://www.gunviolencearchive.org/incident/482926
2013-03-14,California,Modesto,1400 block of Western Way,0,4,http://www.gunviolencearchive.org/incident/482838
2013-03-13,New York,Mohawk,17 W Main St,6,2,http://www.gunviolencearchive.org/incident/482856
2013-03-13,California,Oceanside,504 Calle Montecito,2,2,http://www.gunviolencearchive.org/incident/482801
2013-03-11,District of Columbia,Washington,1200 North Capitol Street,0,13,http://www.gunviolencearchive.org/incident/482771
2013-03-10,Missouri,Kansas City,9331 Hillcrest Rd,0,5,http://www.gunviolencearchive.org/incident/481237
2013-03-07,Mississippi,Jackson,2900 block of Greenwood Avenue,2,2,http://www.gunviolencearchive.org/incident/481229
2013-03-05,Indiana,Indianapolis,1800 block of Edinburge Square,1,3,http://www.gunviolencearchive.org/incident/481220
2013-03-04,California,Los Banos,800 block of La Mesa Lane,1,3,http://www.gunviolencearchive.org/incident/481213
2013-03-03,Michigan,Saginaw (county),4030 Dixie Hwy,0,4,http://www.gunviolencearchive.org/incident/481208
2013-03-03,Georgia,Moultrie,224 Second Street Northwest,2,2,http://www.gunviolencearchive.org/incident/481198
2013-03-02,Louisiana,Shreveport,7000 block of Burlingame Boulevard,1,3,http://www.gunviolencearchive.org/incident/481186
2013-02-24,Georgia,Macon,2800 block of Mercer University Drive,0,8,http://www.gunviolencearchive.org/incident/480443
2013-02-23,California,Lancaster,43145 Business Center Parkway,0,4,http://www.gunviolencearchive.org/incident/480407
2013-02-22,Michigan,Grand Rapids,1447 Grandville Ave. SW,0,4,http://www.gunviolencearchive.org/incident/480401
2013-02-21,Oklahoma,Tulsa,1200 block of North 89th East Avenue,1,3,http://www.gunviolencearchive.org/incident/480383
2013-02-19,California,Orange (county),Katella Avenue,4,3,http://www.gunviolencearchive.org/incident/480358
2013-02-12,Utah,Midvale,8286 Adams Street and 450 West Street,4,1,http://www.gunviolencearchive.org/incident/480344
2013-02-11,Delaware,Wilmington,500 North King Street,3,2,http://www.gunviolencearchive.org/incident/480327
2013-02-11,California,Vallejo,800 block of Humboldt Street,1,4,http://www.gunviolencearchive.org/incident/480311
2013-02-09,Louisiana,New Orleans,400 block of Bourbon Street,0,4,http://www.gunviolencearchive.org/incident/479603
2013-02-07,Illinois,Chicago,2500 block of East 75th Street,0,4,http://www.gunviolencearchive.org/incident/479592
2013-02-03,California,Yuba (county),5800 block of Poplar Avenue,1,3,http://www.gunviolencearchive.org/incident/479580
2013-02-02,Tennessee,Memphis,2514 Mount Moriah,0,5,http://www.gunviolencearchive.org/incident/479573
2013-01-26,Ohio,Springfield,601 West Main Street,1,3,http://www.gunviolencearchive.org/incident/479460
2013-01-26,District of Columbia,Washington,2403 Benning Road Northeast,0,5,http://www.gunviolencearchive.org/incident/479554
2013-01-26,Louisiana,Charenton,1000 block of Flat Town Road,2,3,http://www.gunviolencearchive.org/incident/479561
2013-01-25,Missouri,Saint Louis,W Florissant Ave and Riverview Blvd,1,3,http://www.gunviolencearchive.org/incident/479413
2013-01-23,Tennessee,Chattanooga,1501 Dodds Ave,1,3,http://www.gunviolencearchive.org/incident/491674
2013-01-23,Maryland,Baltimore,1500 block of W. Fayette St.,1,6,http://www.gunviolencearchive.org/incident/492151
2013-01-21,California,Brentwood,1100 block of Breton Drive,0,4,http://www.gunviolencearchive.org/incident/479389
2013-01-21,Louisiana,New Orleans,LaSalle Street and Martin Luther King Jr. Boulevard,0,5,http://www.gunviolencearchive.org/incident/479374
2013-01-19,New Mexico,Albuquerque,2806 Long Lane,5,0,http://www.gunviolencearchive.org/incident/479363
2013-01-07,Oklahoma,Tulsa,6000 block of South Owasso,4,0,http://www.gunviolencearchive.org/incident/478948
2013-01-01,California,Hawthorne,13500 block of Cerise Avenue,1,3,http://www.gunviolencearchive.org/incident/460726
2013-01-01,Pennsylvania,Mckeesport,1506 Versailles Avenue and Coursin Street,0,4,http://www.gunviolencearchive.org/incident/461105
2013-01-07,Oklahoma,Tulsa,6000 block of South Owasso,4,0,http://www.gunviolencearchive.org/incident/478948
2013-01-01,California,Hawthorne,13500 block of Cerise Avenue,1,3,http://www.gunviolencearchive.org/incident/460726
2013-01-01,Pennsylvania,Mckeesport,1506 Versailles Avenue and Coursin Street,0,4,http://www.gunviolencearchive.org/incident/461105
